input,topic
help avoiding electricity shutoff,disconnection
please i need help to avoid an electricity disconnection its very urgent,disconnection
can you give some information about electriticy or shutoff,disconnection
can i get tips on avoiding electricity shutoff,disconnection
are there any programs or resources you can sign me up for in my city,resource
could you sign me up for this subsidy,resource
are there any local resources you could point me to,resource
can you show me some resources for utrecht,resource
can you sign up for this please,resource
i need a program,resource
can you sign me up for this program ,resource
what do i need to do to enroll in these programs ,resource
please sign me up for energy saving program,resource
what resources related to electricity and saving energy are available in my city ,resource
can you help me sign up for an energy subsidy in breda,resource
i am in need of assistance and would appreciate it if you could provide me some resources,resource
please send the information to my email address,resource
hey can yoy please sign me up for this allowance,resource
i am interested in getting a subsidy how does it work in utrecht,resource
via email or text easy access to information ,resource
i want to sign up ,resource
guide me to the city website sign up for energy saving programs,resource
are there any resources or subsidies available in my city ,resource
yes please sign me up ,resource
is there a way of getting financial aid to pay for electricity where i live,resource
can i get the list of subsidy i can get in amsterdam,resource
do you know programs in the city that may help me,resource
can you show me resources for utrecht,resource
how can i register for a subsidyprogram ,resource
do you know of any programsresources or subsidies in my city,resource
where can i find programsresources or subsidies in my city,resource
is there any program to reduce my energy consumption,resource
what resources are available in my city,resource
can you give me a list of available resources for my topic,resource
are there programs that may help me,resource
can you show me programsresourcessubsidies in city name,resource
can you tell me what the available programs resources or subsidies in rotterdam are,resource
is there any help around me,resource
chatbot show me programs resources and subsides in x city,resource
show me programs and resources or subsidies in my city ,resource
can you show me if there are special programs or subsidies in hamburg,resource
can you connect me to some resources ,resource
do you have any resources in the city,resource
do you have some resources in the town,resource
could you show me programsresources in my city,resource
could you show me the local subsidy program,resource
are there any programs that can help,resource
show me programsresources or subsidies in my cities name ,resource
how do i reduce my energy bill in tampa,resource
can you show me some programsresources in my city,resource
are there any saving money programs for energy ,resource
how can i save money on my bill,resource
program list,resource
by sending me the offers by email and links to apply for the same,resource
i need to find an energy coach near me,resource
what resources are available to me to lower my bill,resource
is there anyone who can come help medo you have any additional resources that i might be missing,resource
i need somebody to help meis there anyone that can come to my home and help me,resource
can you show me an energy coach,resource
can you show me a resource,resource
i cannot afford to pay my bill this month what solutions do you have for me,resource
i would ask by defining whether or not the chatbot has selected appropriate programs and subsidies,resource
can you help me manage my debt,resource
can you sign me up for energy saving program,resource
how do i sign up for xyz program,resource
please tell me about all available subsidies,resource
can you provide me with information regarding subsidies that are available to me,resource
show me some programs in my city,resource
do you know of any programs resources or subsidies in my city,resource
i live in this city can you share resources specific to it,resource
please let me know how i can get information about the rate schedule,resource
is there help available to pay my bill,resource
are there funds available to me to help pay energy costs,resource
energy saving programs  sign up,resource
i need to find a program in my city,resource
i wouldnt i would expect the chat bot to ask me and auto fill what it could,resource
what can i do to lower my energy bill,tips
i need a tip,tips
what is dynamic tariff,tips
can you give me tips to reduce my energy costs,tips
precise details and description of energy source usgae and step by step solution to manage energy saving ,tips
can you me how i could lower my electricity bill,tips
what are some ways i can save more energy at home,tips
i need to lower my energy bill,tips
i need to lower my homes energy consumption do you have any advice,tips
tips for saving energy costs,tips
how can my energy use be more efficient,tips
how can i reduce my energy use,tips
how can i save money,tips
are there times during the day when the rates are lower,tips
i am having a hard time paying my bills what resources are available to me,tips
how can i save energy,tips
can i please get tips for energy savings,tips
i really need some tips to help me lower my bill,tips
i would like to hear some tips to reduce my bill,tips
my energy bill is rather high can you help,tips
reduce power costs,tips
tips to reduce energy bill,tips
what are some ways i can reduce my energy bill,tips
ways to reduce my bill or ways to reduce my consumption,tips
i need tips to reduce my energy bill,tips
please provide me with the most cost saving options,tips
how to conserve energy use,tips
how can i lower my bill,tips
is there a way i can reduce my energy bill,tips
what small changes can i make to my energy use to make my energy bill lower,tips
hi im looking for ways to reduce my energy uses,tips
i need help lowering my bill,tips
hi im looking for ways to reduce my energy usage,tips
i need some helpful tips to help me reduce my energy bill,tips
tips to reduce my energy bill,tips
how can i save more energy,tips
do you have any energy saving tips for me,tips
could you show me some energy saving tips,tips
maybe integrated with an assistant like google home or apple siri,tips
can you please help me reduce my energy costs,tips
i am looking for solutions to reduce my electricity bill can you help,tips
how do i reduce my energy bill,tips
suggest me ways to reduce energy consumption,tips
what is an easy way to reduce my energy bill,tips
i want to reduce energy consumption in my home can you give me some advice,tips
how do i save money on energy costs,tips
how can i reduce my energy use at home,tips
how can i reduce energy use in my home,tips
how can i save money with my energy bill,tips
can you show how i can save energy costs,tips
how can i reduce energy consumption in my home,tips
hi could you provide me with some energy saving tips ,tips
could you give me some energy saving tips for in my home,tips
how can i save energy in my home,tips
how can i save more energy,tips
how to use less energy at home,tips
how can i reduce my energy consumption,tips
how can i reduce my electricity fee,tips
in what ways can i best reduce my energy consumption in my home,tips
how can i reduce energy consumption in my home,tips
can i get tips on energy saving for my home,tips
i need to reduce my energy consumption do you have any tips,tips
how can i cut down on my electricity bill,tips
how can i save more energy ,tips
how can i easily lower my energy usage ,tips
what can i do to make my energy use more sustainable and efficient,tips
please tell me about potential energy savings for my home,tips
let me know how to conserve energy with daily tips ,tips
how can i reduce my energy bill,tips
i want to start saving energy can you maybe give me a tip if you have any,tips
hey do you have a tip for me to lower my energy consumption,tips
how to save money on my energy bill or how to lower my energy bill,tips
help,tips
i have reviewed some sources and found the perfect energy saving tip for you based on your location and current usage ,tips
how can i reduce my electric bill each month ,tips
are there any programs available to help me reduce my energy bill,tips
im trying to save money on my energy bills do you have any tips,tips
what can i do to reduce my power bill,tips
hi i am in need of some energy saving tips to help the environment ,tips
i need advice on how to save money on energy at home,tips
can you give me an advice,tips
in what ways can i best reduce my energy consumption in my home,tips
i need an energy saving tip,tips
how can i save money ,tips
can you give me an energy saving tip for my home,tips
lower bill,tips

